Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,4,4,4,3,4,4,4,4,4,3,3,4,4,3,2,4,3,4,4,3,4,2,4,4,6,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,2,3,2,4,5,4,4,0,3,2,3,3,4,4,4,5,4,3,3,3,4,4,4,5,4
accordion,3,2,2,4,4,2,3,3,5,4,3,4,5,2,2,5,2,3,3,3,4,4,0,4,4,4,3,5,4,2,0,2,0,6,0,5,5,4,4,4,4,4,3,4,4,3,4,3,4,5,0,3,3,4,5,2,4,3,4,2,2,2,2,5,4,4,4,2
activist,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,2,3,2,3,3,4,4,2,4,4,3,3,4,4,4,4,2,3,2,0,4,3,4,3,2,4,3,4,3,4,4,3,4,4,5,4,4,4,5,4,1,4,4,3,3,2,2,0,4,4,4,5,5
actor,4,3,3,3,3,4,4,6,4,4,3,4,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,5,3,4,3,3,4,4,4,3,4,4,5,3,3,3,3,3,4,3,2,4,4,4,6,5,4,5,4,4,5,3,4,4,3,4,4,3,4,5,5,3
advantage,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,5,4,4,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,3,3,3,4,4,3,5,5,4,6,4,3,4,5,3,4,4,5,3,3,3,4,4,4,4,5,5
advice,4,5,4,4,3,3,3,4,4,4,3,3,4,5,4,4,3,3,4,3,4,4,2,5,2,4,3,4,3,6,4,3,3,3,4,4,3,4,3,4,5,3,5,2,4,4,3,4,5,3,4,3,4,5,5,3,4,4,4,4,4,4,3,4,6,3,6,4
aggressive,2,3,4,4,4,4,3,4,4,5,3,4,4,4,3,4,4,3,2,4,4,4,2,5,4,2,4,5,3,4,4,2,4,4,4,3,4,3,4,3,4,2,4,2,2,4,3,3,4,4,4,4,3,5,4,3,2,3,2,3,3,4,3,4,4,4,4,3
agreement,5,4,4,4,4,3,3,4,4,5,5,3,4,6,3,4,4,3,4,4,2,4,4,3,4,4,4,4,4,4,3,3,4,5,3,2,4,5,4,4,2,4,5,3,3,2,3,4,4,6,3,5,5,5,5,4,4,2,4,2,2,3,2,4,4,5,5,3
airport,5,4,4,4,4,4,4,6,3,4,4,5,4,2,2,3,4,4,4,3,4,3,2,4,4,4,3,4,2,2,2,4,0,0,1,6,6,4,5,4,4,4,3,3,5,3,2,5,5,5,0,4,2,4,6,1,4,3,3,3,2,0,2,4,4,4,4,3
alligator,4,4,5,4,4,5,3,4,4,4,4,5,5,3,3,4,3,4,4,4,4,5,2,2,4,4,2,3,4,2,3,2,3,1,4,2,3,4,4,0,6,2,2,3,5,1,3,4,6,2,2,2,2,4,2,5,2,2,4,2,2,3,5,4,5,3,5,3
